Run Index,Alpha_a,Alpha_b,Alpha_W_a,Alpha_W_b,Q_Init,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
51.0,0.935,0.985,0.805,0.775,0.535,0.085,0.255,-128.4825744741398,9.060030782791404,-137.5426052569312,-285.20179270499875,56.64904196275346,-390.0198197683736,85.58533319679304,105.13507829001173,-395.352561986718
52.0,0.205,0.895,0.485,0.615,0.435,0.985,0.885,-143.04442029210108,11.521879056774388,-154.56629934887548,-221.87988775690275,30.33831971330274,-311.36800057521236,50.15879005220434,165.17065880500013,-295.94164073308997
53.0,0.875,0.275,0.385,0.385,0.955,0.845,0.745,-139.76896304856598,12.864476804783395,-152.6334398533494,-238.96743338163455,43.931951280294065,-380.0234429880537,81.09487920420645,148.6405252800032,-354.1869596740612
54.0,0.435,0.875,0.965,0.395,0.145,0.555,0.555,-134.07259704664017,11.732985555817377,-145.80558260245755,-267.3838921453086,51.013722765719436,-364.8090343103444,57.50525017109915,131.58569771300245,-359.96428273919423
55.0,0.735,0.745,0.565,0.785,0.895,0.965,0.325,-123.87816201429989,8.112585468642031,-131.9907474829419,-292.5473703747973,72.76044015971401,-390.5451943274518,93.50542298027895,293.1866997600009,-412.80493324379904
56.0,0.30933142792383855,0.3197457374685113,0.7992555682122224,0.6779401840995777,0.3935005803984789,0.5681016005569116,0.6396950608439874,-142.0791288799353,13.964407913280516,-156.04353679321582,-245.52222845575116,39.72164379048901,-387.546922197132,83.1814588019385,285.6629333939927,-359.4376757473723
57.0,0.755,0.945,0.245,0.075,0.115,0.995,0.805,-136.8798444637996,13.091433816423736,-149.97127828022334,-239.34797013583776,35.94470086009506,-355.77499521392957,66.6134987544269,167.67983845900744,-334.1310001849023
58.0,0.235,0.025,0.815,0.405,0.185,0.925,0.695,-123.61828007857605,17.530008926094897,-141.14828900467094,-201.78559830035854,35.16911423355231,-355.86734290038055,66.47676159590587,271.75781843200093,-311.1104693188611
59.0,0.965,0.865,0.455,0.825,0.595,0.265,0.755,-139.2906574036391,11.599673775264776,-150.89033117890386,-186.94799822816293,24.069925267159366,-290.0311689681497,55.64427236260931,115.38546147500165,-264.88093062949696
60.0,0.695,0.325,0.405,0.835,0.345,0.315,0.855,-146.64525760187303,15.613004592628052,-162.25826219450107,-208.63682035455082,24.141552639318604,-304.8995831644972,39.93292304316925,127.80189369799336,-277.6000262793882
61.0,0.155,0.045,0.635,0.665,0.815,0.335,0.365,-111.66390134321774,12.941016669022595,-124.60491801224035,-242.2884171704004,71.81604479856362,-349.4044551642568,77.84024351468456,94.32268489799753,-359.360556652955
62.0,0.485,0.175,0.285,0.375,0.755,0.545,0.975,-151.59456387445195,17.187238448066733,-168.78180232251867,-206.87548010153796,23.127949280091602,-328.9630630530089,51.50280440265372,156.80051281899796,-290.1884046112428
63.0,0.555,0.815,0.355,0.805,0.615,0.915,0.445,-130.41881922497356,9.944633794299259,-140.3634530192728,-291.6633349787075,59.47109044779799,-408.82631704184877,83.69302821492205,149.34614445699845,-407.6883933586116
64.0,0.605,0.685,0.825,0.215,0.395,0.305,0.545,-160.53403054074147,17.254459368954805,-177.78848990969627,-224.425348205525,33.96314187462783,-291.7540288118244,48.00142089316846,258.4614914700069,-290.9352739300889
65.0,0.095,0.905,0.525,0.715,0.245,0.405,0.995,-144.62305470290093,15.032386499377134,-159.65544120227807,-193.54743865572502,20.874255080151563,-272.3659554408404,34.79081114127903,239.23140403100115,-251.51572287437372
66.0,0.625,0.555,0.735,0.185,0.255,0.955,0.405,-113.98963666886709,7.536730702751192,-121.52636737161828,-265.593398093549,62.35225228679884,-322.5520705462894,72.10892811513608,178.07486066999263,-354.63178969277897
67.0,0.315,0.665,0.955,0.315,0.425,0.445,0.435,-119.4627453840235,10.855462982933041,-130.31820836695655,-248.1790129376744,63.73699419265442,-347.91197272030786,79.19874795736175,139.47319373799837,-357.9938925492651
68.0,0.725,0.525,0.765,0.425,0.925,0.135,0.025,-122.06913912641889,4.5579733229861725,-126.62711244940506,-348.4463309908067,103.98997500358911,-397.8960464539921,123.80391335495236,104.81269984100072,-480.14176752021524
69.0,0.165,0.285,0.655,0.415,0.995,0.025,0.665,-172.18293505443455,18.07207286357355,-190.2550079180081,-213.8124693548462,20.535677594891713,-304.8475218241843,29.315753419589484,97.89961705100723,-274.2741982673523
70.0,0.445,0.115,0.945,0.175,0.855,0.375,0.715,-103.3733748812723,9.26663094797529,-112.64000582924758,-203.4142136527318,33.14504420389072,-338.2698812900657,71.51409596941096,115.72487083499436,-305.8491456177642
71.0,0.825,0.125,0.175,0.595,0.505,0.455,0.775,-148.13088013754904,13.10153892985255,-161.2324190674016,-204.98537994300005,22.490755960412226,-349.35345868299095,51.97803335072491,130.48852404199715,-297.0182783555337
72.0,0.675,0.145,0.095,0.245,0.045,0.355,0.605,-130.76832626383103,11.963999549823509,-142.73232581365454,-245.23308440029913,41.74668063680738,-414.49105927352383,56.857220669351754,116.06773521599825,-360.72717099941417
73.0,0.345,0.215,0.215,0.295,0.175,0.935,0.225,-126.44438417756427,8.195005058749517,-134.6393892363138,-334.4537119283181,89.62650285297057,-436.9388188561546,86.91139304819595,260.5303817439999,-463.9882136305134
74.0,0.305,0.005,0.895,0.115,0.805,0.855,0.565,-110.6305685791447,12.127915197867997,-122.75848377701269,-223.3969555091092,57.83479469362406,-357.6535208141348,86.08729973083605,160.01142720600183,-346.2353783396283
75.0,0.585,0.105,0.705,0.145,0.695,0.285,0.815,-147.72883323945237,15.933909909411996,-163.66274314886437,-203.0482469071633,24.84707636527393,-306.1037669121041,46.35816017539801,104.23177638099878,-277.72196479846315
76.0,0.745,0.885,0.375,0.685,0.685,0.605,0.135,-130.03146493625047,7.0919860812481055,-137.12345101749858,-368.7600279795388,97.78469700860062,-448.64780924763863,135.89659961083655,108.83151252300013,-513.7445985362738
77.0,0.885,0.625,0.445,0.705,0.675,0.795,0.915,-152.77357794712515,15.721955211315004,-168.49553315844014,-225.735587391548,32.42487549613413,-367.8748691917832,69.36490520592926,177.12133010099933,-329.7921874916943
78.0,0.985,0.915,0.545,0.975,0.445,0.385,0.065,-125.54840493675697,5.246992034888555,-130.79539697164552,-401.1252876343704,110.92359858639485,-461.52654652966464,141.34457854604872,213.94980617400142,-548.3777817627445
79.0,0.545,0.805,0.975,0.565,0.915,0.095,0.015,-127.11901089223714,7.103975655260645,-134.22298654749778,-373.716201306524,102.82250681670531,-385.71543451195566,102.12563309143668,86.91390572699311,-481.05965191529447
