Run Index,Alpha_a,Alpha_W_a,Q_Init,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
58.0,0.235,0.025,0.815,0.405,0.185,-113.8719501119962,13.978479166245966,-127.85042927824216,-255.15268615560086,66.54848378773438,-421.56806013648,70.46011773350844,113.0120472009985,-389.8319731139965
59.0,0.965,0.865,0.455,0.825,0.595,-100.7189472708751,12.317510850462718,-113.03645812133783,-158.31787594513236,29.985260290665188,-232.36472933870922,39.53215147156415,155.02347320399895,-221.7406340655879
60.0,0.5615571223892697,0.1459572368454306,0.47053750375951187,0.7642136315115027,0.408910074690629,-116.84893373334646,9.376466953316864,-126.22540068666332,-184.65209713117048,43.25630146261683,-298.40651952944535,44.59537246543028,273.5163648630005,-273.9457959542226
61.0,0.155,0.045,0.635,0.665,0.815,-177.95583260828914,19.039189175192988,-196.99502178348212,-202.03222698053168,13.730962392802269,-302.8941855734631,18.840776207996193,276.8198768180009,-258.15189833658405
62.0,0.485,0.175,0.285,0.375,0.755,-167.76416820782603,16.13788643002501,-183.90205463785105,-214.36054273814025,18.20509765277441,-313.2905460723009,33.455464813248604,117.9434058679999,-278.23778858876864
63.0,0.555,0.815,0.355,0.805,0.615,-62.00158024316724,16.013137535101908,-78.01471777826914,-86.41035735489773,10.956311002057868,-175.79278612248947,11.255703100448457,152.85930396799995,-133.23939670334852
64.0,0.7289142460829494,0.6614740117651006,0.818011334941565,0.19284069680351457,0.5638056360809751,-105.08444009556162,5.82005700849391,-110.90449710405552,-178.30804527986808,27.618845205881705,-259.1093543099118,33.2088699337561,91.96673951100092,-240.48342398891702
65.0,0.095,0.905,0.525,0.715,0.245,-55.48478804548412,10.135968619547684,-65.6207566650318,-92.25223217308391,22.99501414806633,-204.9713194735983,26.68469977609091,348.63412987799893,-161.81075549256585
66.0,0.625,0.555,0.735,0.185,0.255,-96.98404364184745,9.923297933096787,-106.90734157494424,-139.92942539363312,19.005291205011964,-238.84372394894504,44.02228745789645,85.62741545999961,-208.50723452192364
67.0,0.315,0.665,0.955,0.315,0.425,-91.32659764800495,12.535546112442923,-103.86214376044788,-108.73364522129766,15.497048025223068,-199.83588344803795,19.588340740804455,117.54005892600071,-162.30810562344942
