Run Index,Alpha_a,Alpha_b,Eps_a,Eps_b,Q_Init,Lambda_a,Lambda_b,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
26.0,0.795,0.255,0.005,0.255,0.935,0.515,0.175,0.085,0.575,-168.2984510233829,27.543733705154136,-195.84218472853703,-139.30348363138017,20.373072863350398,-228.95912141686784,6.018066846372539,286.75317874700704,-189.7968092021345
27.0,0.265,0.365,0.645,0.625,0.605,0.745,0.045,0.955,0.915,-170.56995136336818,16.834970018317872,-187.40492138168605,-235.05841572583796,11.702533118107924,-311.1589031525554,6.072501677464965,812.3734500550054,-274.9491312383757
28.0,0.765,0.575,0.225,0.915,0.655,0.675,0.415,0.375,0.525,-200.67325912226258,25.5761004646884,-226.249359586951,-218.02872297003915,9.408960173339691,-293.47012803081117,3.6902793808247347,349.1116048959957,-255.32677285068166
29.0,0.785,0.155,0.925,0.515,0.065,0.015,0.185,0.505,0.485,136.28185018473522,27.440214036724022,108.84163614801119,127.73827248289054,15.253427626771579,-112.77770721079108,9.06310529176395,1135.3661694659968,18.754581912649357
30.0,0.385,0.755,0.185,0.545,0.485,0.895,0.615,0.265,0.075,-30.316479232093815,27.020081704513547,-57.33656093660736,-104.10750970874813,33.2086390610353,-194.75862444427653,18.7457772184754,221.0312737839995,-167.7914499269708
31.0,0.005,0.705,0.145,0.555,0.785,0.755,0.525,0.625,0.755,-194.77351427009395,21.49392740452416,-216.2674416746181,-224.1689248945347,12.422560646138164,-297.8517194877444,5.307997742389631,240.59208348700486,-263.21877821645734
32.0,0.865,0.715,0.505,0.355,0.985,0.735,0.685,0.115,0.475,-224.47700319052544,30.81935959587561,-255.29636278640106,-152.04835712195555,15.507023511236875,-247.82396280140998,4.783437193806375,281.4565467520006,-201.57618837800197
33.0,0.465,0.515,0.425,0.815,0.515,0.975,0.865,0.045,0.775,-177.08840634171665,20.263658232803486,-197.35206457452014,-200.01526477622016,17.273294605654307,-285.42809305918706,6.387342263603247,476.94194156100275,-247.09930975824082
34.0,0.105,0.095,0.345,0.445,0.275,0.345,0.105,0.135,0.195,5.419727646515265,33.58289375778281,-28.163166111267547,-112.24049408128865,44.09381277928625,-229.72941289148503,14.667270240332194,524.6316657110001,-191.55925736907182
35.0,0.295,0.925,0.555,0.335,0.565,0.205,0.395,0.875,0.375,-200.17857605146054,30.87036332687347,-231.048939378334,-236.390638583369,22.626589832526292,-321.8222573971167,8.848257121099055,381.78181951599254,-287.67854285682347
36.0,0.705,0.315,0.045,0.925,0.315,0.485,0.585,0.605,0.535,-163.60724738733944,17.420294519951177,-181.0275419072906,-176.45942195369716,12.951991644863737,-274.86103049858696,3.242784125485705,586.0897912880027,-224.8883740087656
37.0,0.455,0.235,0.295,0.085,0.405,0.905,0.355,0.925,0.415,-13.328125577776978,37.6840316565157,-51.01215723429268,-121.19927913504564,26.985345455851792,-260.9189609366259,12.845485166269823,740.160752597003,-198.4165531956968
38.0,0.175,0.775,0.065,0.475,0.285,0.715,0.305,0.165,0.565,-196.76115098047623,20.410829827669936,-217.17198080814617,-238.8380349991984,15.853220054059001,-319.78555464222524,4.1103623522830315,404.4173587010009,-282.37311982975774
39.0,0.395,0.965,0.125,0.845,0.335,0.075,0.875,0.075,0.325,-147.72066333074463,14.122781594605561,-161.84344492535018,-218.38636858648925,18.789790820876622,-281.46930889025185,8.534634351641857,154.7528087029932,-258.307272941177
