Run Index,Alpha_a,Alpha_b,Eps_a,Eps_b,Q_Init,N_Steps,N_Tilings,S_Intervals,Superlative EETDR,Superlative 95HW,SP95LB,Mean Max EETDR,Mean Max 95ME,Mean Time-Avg EETDR,Mean Time-Avg 95ME,Wallclock,Algorithm Score
43.0,0.055,0.295,0.685,0.535,0.845,0.655,0.925,0.705,-58.3503283540094,30.530326578135973,-88.88065493214538,-44.46493808039484,18.017933497843533,-161.0059622321038,7.52931725340902,1474.6493669139963,-104.90383474114816
44.0,0.685,0.305,0.495,0.645,0.735,0.525,0.655,0.755,47.66021214068268,26.87603262956584,20.78417951111684,22.73306405094364,23.648127294077838,-86.65560771266436,9.452694699704752,275.4065366730065,-38.992358910828166
45.0,0.015,0.675,0.025,0.325,0.645,0.005,0.125,0.175,-182.64679476514834,20.267777623890925,-202.91457238903928,-196.6592311039585,13.663866894473477,-268.21806358890905,6.795850170014334,160.6349692970034,-236.19942430262853
46.0,0.955,0.835,0.875,0.125,0.885,0.875,0.595,0.055,-130.38034292212643,23.82439139476967,-154.2047343168961,-148.96617571077928,17.342484974438676,-242.73430628347782,27.28581182519106,535.305033288998,-207.7932436545983
47.0,0.845,0.085,0.675,0.995,0.205,0.685,0.465,0.825,-55.06637534867642,12.92243622297693,-67.98881157165334,-74.30403219163694,7.78043836713489,-123.31730341982336,3.0572187565568925,160.16615374499816,-99.8004912058152
48.0,0.635,0.545,0.575,0.985,0.705,0.505,0.055,0.735,-65.1556366504177,16.59947335478735,-81.75511000520505,-62.11375386056009,7.137544542557363,-119.00254802934356,5.227080995502742,148.6924173860025,-91.24263065180898
49.0,0.035,0.845,0.725,0.875,0.765,0.415,0.495,0.095,-178.0695587579038,14.867677898907173,-192.93723665681097,-159.38056970011493,9.101128995072937,-205.26462059408792,8.811327156690973,224.4484664690026,-186.7193983174243
50.0,0.835,0.825,0.255,0.225,0.945,0.045,0.835,0.845,-175.70680280979752,15.919189991106741,-191.62599280090427,-242.98964943856285,13.146550490518385,-315.98171453120204,8.46253295095016,349.2979544379996,-283.4594189503096
51.0,0.935,0.985,0.805,0.775,0.535,0.085,0.255,0.675,-157.74057857176092,16.79270343426759,-174.53328200602851,-216.87872010129541,17.356118818050252,-302.82764836344137,8.189701343169004,483.00336389699805,-264.94784323425154
52.0,0.205,0.895,0.485,0.615,0.435,0.985,0.885,0.435,4.499417244332269,25.797199330325434,-21.297782085993163,-5.234882288678079,13.466306461230305,-96.13615678251888,8.489976903817706,1186.3934040510067,-53.07116672447967
